pond,jar,count,temp
north,1,32,20.7
north,2,34,19.9
north,3,30,17.1
north,4,51,22.1
north,5,41,14.7
north,6,39,23.5
north,7,32,17.5
north,8,39,14.7
north,9,44,17.4
north,10,31,15.9
north,11,31,22.4
north,12,35,15.1
south,1,25,18.8
south,2,20,18.2
south,3,19,17.3
south,4,21,22.9
south,5,30,23.9
south,6,22,20.9
south,7,21,21.0
south,8,24,16.4
south,9,19,19.5
south,10,29,20.3
south,11,19,14.9
south,12,23,23.1
east,1,19,19.8
east,2,9,14.1
east,3,20,19.7
east,4,17,21.3
east,5,19,17.9
east,6,17,15.5
east,7,14,17.1
east,8,17,19.4
east,9,16,16.7
east,10,14,19.1
east,11,16,17.9
east,12,17,19.1
west,1,5,19.4
west,2,7,23.2
west,3,3,17.4
west,4,4,20.6
west,5,8,22.1
west,6,6,14.8
west,7,10,19.6
west,8,3,17.5
west,9,10,23.3
west,10,5,14.1
west,11,7,21.2
west,12,9,22.6
